CAMIS,DBA,BORO,BUILDING,STREET,ZIPCODE,PHONE,CUISINE DESCRIPTION,INSPECTION DATE,ACTION,VIOLATION CODE,VIOLATION DESCRIPTION,CRITICAL FLAG,SCORE,GRADE,GRADE DATE,RECORD DATE,INSPECTION TYPE
41056433,"DUNKIN' DONUTS, BASKIN ROBBINS",MANHATTAN,1760      ,2 AVENUE                                          ,10128,2128763312,Donuts,01/12/2015,Violations were cited in the following area(s).,10E,Accurate thermometer not provided in refrigerated or hot holding equipment.,Not Critical,9,A,01/12/2015,02/21/2016,Cycle Inspection / Re-inspection
41056433,"DUNKIN' DONUTS, BASKIN ROBBINS",MANHATTAN,1760      ,2 AVENUE                                          ,10128,2128763312,Donuts,01/12/2015,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,9,A,01/12/2015,02/21/2016,Cycle Inspection / Re-inspection
41020311,SHARAN DELI,MANHATTAN,314,WEST   39 STREET,10018,2126957170,Delicatessen,01/12/2015,Violations were cited in the following area(s).,10I,"Single service item reused, improperly stored, dispensed; not used when required.",Not Critical,2,A,01/12/2015,02/21/2016,Cycle Inspection / Initial Inspection
40991266,ITALIANISSIMO RISTORANTE,MANHATTAN,307       ,EAST   84 STREET                                  ,10028,2126288603,Italian,01/12/2015,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,11,A,01/12/2015,02/21/2016,Cycle Inspection / Re-inspection
40991266,ITALIANISSIMO RISTORANTE,MANHATTAN,307       ,EAST   84 STREET                                  ,10028,2126288603,Italian,01/12/2015,Violations were cited in the following area(s).,10A,"Toilet facility not maintained and provided with toilet paper, waste receptacle and self-closing door.",Not Critical,11,A,01/12/2015,02/21/2016,Cycle Inspection / Re-inspection
40991266,ITALIANISSIMO RISTORANTE,MANHATTAN,307       ,EAST   84 STREET                                  ,10028,2126288603,Italian,01/12/2015,Violations were cited in the following area(s).,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,Critical,11,A,01/12/2015,02/21/2016,Cycle Inspection / Re-inspection
50001918,BLACK IRON BURGER,MANHATTAN,540,E. 5TH STREET,10009,2126776067,American ,01/12/2015,No violations were recorded at the time of this inspection.,,,Not Applicable,,,,02/21/2016,Administrative Miscellaneous / Re-inspection
40950482,EAMONN'S BAR AND GRILL,MANHATTAN,9,EAST   45 STREET,10017,2128679013,Irish,01/12/2015,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,12,A,01/12/2015,02/21/2016,Cycle Inspection / Re-inspection
40950482,EAMONN'S BAR AND GRILL,MANHATTAN,9,EAST   45 STREET,10017,2128679013,Irish,01/12/2015,Violations were cited in the following area(s).,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,Critical,12,A,01/12/2015,02/21/2016,Cycle Inspection / Re-inspection
41011581,WOGIES,MANHATTAN,39,GREENWICH AVENUE,10014,2122292171,American ,01/12/2015,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,13,A,01/12/2015,02/21/2016,Cycle Inspection / Re-inspection
41011581,WOGIES,MANHATTAN,39,GREENWICH AVENUE,10014,2122292171,American ,01/12/2015,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140º F.,Critical,13,A,01/12/2015,02/21/2016,Cycle Inspection / Re-inspection
40923919,COSI,MANHATTAN,685,3 AVENUE,10017,2126978329,American ,01/12/2015,Violations were cited in the following area(s).,09C,Food contact surface not properly maintained.,Not Critical,7,A,01/12/2015,02/21/2016,Cycle Inspection / Re-inspection
40923919,COSI,MANHATTAN,685,3 AVENUE,10017,2126978329,American ,01/12/2015,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,7,A,01/12/2015,02/21/2016,Cycle Inspection / Re-inspection
40868077,BURGERS & CUPCAKES,MANHATTAN,458,9 AVENUE,10018,2126431200,American ,01/12/2015,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,53,,,02/21/2016,Cycle Inspection / Initial Inspection
40868077,BURGERS & CUPCAKES,MANHATTAN,458,9 AVENUE,10018,2126431200,American ,01/12/2015,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,53,,,02/21/2016,Cycle Inspection / Initial Inspection
40868077,BURGERS & CUPCAKES,MANHATTAN,458,9 AVENUE,10018,2126431200,American ,01/12/2015,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,53,,,02/21/2016,Cycle Inspection / Initial Inspection
40868077,BURGERS & CUPCAKES,MANHATTAN,458,9 AVENUE,10018,2126431200,American ,01/12/2015,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,53,,,02/21/2016,Cycle Inspection / Initial Inspection
40868077,BURGERS & CUPCAKES,MANHATTAN,458,9 AVENUE,10018,2126431200,American ,01/12/2015,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,53,,,02/21/2016,Cycle Inspection / Initial Inspection
40868077,BURGERS & CUPCAKES,MANHATTAN,458,9 AVENUE,10018,2126431200,American ,01/12/2015,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,Critical,53,,,02/21/2016,Cycle Inspection / Initial Inspection
40565492,MIKE'S COFFEE SHOP,MANHATTAN,44,EAST   32 STREET,10016,6463994749,Café/Coffee/Tea,01/12/2015,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,19,,,02/21/2016,Cycle Inspection / Initial Inspection
40565492,MIKE'S COFFEE SHOP,MANHATTAN,44,EAST   32 STREET,10016,6463994749,Café/Coffee/Tea,01/12/2015,Violations were cited in the following area(s).,03C,"Eggs found dirty/cracked; liquid, frozen or powdered eggs not pasteurized.",Critical,19,,,02/21/2016,Cycle Inspection / Initial Inspection
40565492,MIKE'S COFFEE SHOP,MANHATTAN,44,EAST   32 STREET,10016,6463994749,Café/Coffee/Tea,01/12/2015,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140º F.,Critical,19,,,02/21/2016,Cycle Inspection / Initial Inspection
40561162,BRICCO RESTAURANT,MANHATTAN,304       ,WEST   56 STREET                                  ,10019,2122457160,Italian,01/12/2015,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,10,A,01/12/2015,02/21/2016,Cycle Inspection / Re-inspection
40561162,BRICCO RESTAURANT,MANHATTAN,304       ,WEST   56 STREET                                  ,10019,2122457160,Italian,01/12/2015,Violations were cited in the following area(s).,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,10,A,01/12/2015,02/21/2016,Cycle Inspection / Re-inspection
40573138,TAVERN ON JANE,MANHATTAN,31        ,8 AVENUE                                          ,10014,2126752526,American ,01/12/2015,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,18,B,01/12/2015,02/21/2016,Cycle Inspection / Re-inspection
40573138,TAVERN ON JANE,MANHATTAN,31        ,8 AVENUE                                          ,10014,2126752526,American ,01/12/2015,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,18,B,01/12/2015,02/21/2016,Cycle Inspection / Re-inspection
40573138,TAVERN ON JANE,MANHATTAN,31        ,8 AVENUE                                          ,10014,2126752526,American ,01/12/2015,Violations were cited in the following area(s).,04C,Food worker does not use proper utensil to eliminate bare hand contact with food that will not receive adequate additional heat treatment.,Critical,18,B,01/12/2015,02/21/2016,Cycle Inspection / Re-inspection
50018445,CREDIT SUISSE (Executive dining),MANHATTAN,11,MADISON AVE,10010,2123256950,American ,01/12/2015,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,5,A,01/12/2015,02/21/2016,Pre-permit (Operational) / Initial Inspection
